                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                0.41773,                0.30162,                0.99661,                0.98674,                0.95063,                0.98582,                 0.9218,                0.41705,                0.28396,                0.94445,              0.0004357,              0.0004357,              0.0004357
                     60,                0.41192,                0.29071,                0.99667,                0.96579,                0.96368,                0.98304,                 0.9167,                0.41768,                0.26956,                0.93949,              0.0004258,              0.0004258,              0.0004258
                     61,                0.41255,                0.28976,                0.98597,                0.97904,                 0.9636,                0.98148,                0.90541,                0.44425,                0.27285,                0.97767,              0.0004159,              0.0004159,              0.0004159
                     62,                 0.4066,                0.28459,                0.98677,                0.98732,                0.98026,                0.99269,                0.92465,                0.40957,                0.24624,                0.93406,               0.000406,               0.000406,               0.000406
                     63,                0.39594,                0.28539,                 0.9791,                  0.983,                0.95691,                 0.9863,                0.92602,                0.40725,                 0.2601,                0.93424,              0.0003961,              0.0003961,              0.0003961
                     64,                0.39723,                0.27566,                0.98119,                 0.9884,                0.97543,                 0.9891,                0.92146,                0.41238,                0.25608,                0.94251,              0.0003862,              0.0003862,              0.0003862
                     65,                0.39815,                0.28136,                 0.9844,                0.98647,                0.96076,                0.98502,                0.92397,                0.40312,                0.26497,                0.93464,              0.0003763,              0.0003763,              0.0003763
                     66,                0.38725,                0.27823,                 0.9801,                0.98836,                0.96971,                0.98589,                0.92155,                 0.4142,                0.25869,                0.93806,              0.0003664,              0.0003664,              0.0003664
                     67,                0.38782,                0.27531,                0.97834,                0.98607,                0.97156,                0.98243,                0.92776,                 0.3956,                 0.2642,                0.92524,              0.0003565,              0.0003565,              0.0003565
                     68,                0.38264,                0.28053,                0.97328,                0.99173,                0.96514,                0.98463,                0.92274,                0.39656,                 0.2571,                0.92996,              0.0003466,              0.0003466,              0.0003466
                     69,                0.37724,                0.26752,                0.97905,                 0.9892,                 0.9702,                0.98591,                0.92706,                0.39519,                0.25875,                0.93032,              0.0003367,              0.0003367,              0.0003367
                     70,                0.37811,                0.27252,                0.97878,                0.98761,                0.96844,                0.98606,                0.92954,                0.39058,                0.24965,                 0.9156,              0.0003268,              0.0003268,              0.0003268
                     71,                0.36885,                0.26474,                0.97518,                0.96375,                0.98545,                0.99057,                0.93119,                0.39159,                0.25305,                0.91819,              0.0003169,              0.0003169,              0.0003169
                     72,                0.37468,                0.27039,                 0.9722,                0.99231,                0.96947,                0.98814,                0.93038,                0.39468,                0.24222,                0.92443,               0.000307,               0.000307,               0.000307
                     73,                0.37876,                0.27289,                0.97609,                0.99346,                0.96831,                0.98748,                 0.9236,                0.40436,                 0.2479,                0.93189,              0.0002971,              0.0002971,              0.0002971
                     74,                 0.3716,                 0.2659,                0.96685,                0.99123,                0.95915,                0.98745,                0.92604,                0.38777,                0.24706,                0.91618,              0.0002872,              0.0002872,              0.0002872
                     75,                0.36035,                 0.2618,                0.96631,                0.97606,                0.96419,                0.98453,                0.92048,                0.39767,                0.24899,                0.93391,              0.0002773,              0.0002773,              0.0002773
                     76,                0.36021,                0.25923,                0.97521,                0.98971,                0.96532,                0.98591,                0.92576,                0.38165,                0.23923,                 0.9173,              0.0002674,              0.0002674,              0.0002674
                     77,                0.36092,                0.25437,                0.96788,                 0.9879,                0.97492,                0.98922,                0.93672,                0.38094,                0.23024,                0.91666,              0.0002575,              0.0002575,              0.0002575
                     78,                0.35774,                0.26119,                0.96806,                0.99502,                0.96927,                0.98375,                0.92769,                 0.3927,                 0.2423,                 0.9266,              0.0002476,              0.0002476,              0.0002476
                     79,                0.37179,                0.26006,                 0.9714,                0.97937,                0.97132,                 0.9861,                 0.9312,                0.38839,                0.24455,                 0.9172,              0.0002377,              0.0002377,              0.0002377
                     80,                0.35721,                0.25461,                0.96276,                0.98467,                0.97248,                0.98953,                 0.9381,                0.38643,                0.23969,                0.91802,              0.0002278,              0.0002278,              0.0002278
                     81,                0.35911,                0.25277,                0.96617,                 0.9897,                0.96859,                0.98506,                0.93479,                0.37232,                0.23957,                0.90842,              0.0002179,              0.0002179,              0.0002179
                     82,                0.34755,                0.24866,                0.95703,                0.99297,                0.96823,                0.98592,                0.93371,                0.38136,                  0.238,                0.91557,               0.000208,               0.000208,               0.000208
                     83,                0.34157,                0.24442,                0.96211,                0.99014,                0.97493,                0.98537,                0.93275,                0.37967,                0.23441,                0.91096,              0.0001981,              0.0001981,              0.0001981
                     84,                0.35247,                0.24754,                0.96219,                0.98864,                0.98936,                0.99064,                0.93723,                0.37457,                0.23598,                0.90505,              0.0001882,              0.0001882,              0.0001882
                     85,                0.34376,                0.24509,                0.95714,                0.98961,                0.97002,                0.99028,                0.93855,                0.36895,                0.22693,                0.90505,              0.0001783,              0.0001783,              0.0001783
                     86,                0.34892,                0.24272,                0.95679,                  0.992,                 0.9646,                0.99114,                0.94133,                0.37569,                0.23153,                0.91262,              0.0001684,              0.0001684,              0.0001684
                     87,                0.34285,                0.24864,                0.96024,                0.98849,                0.97326,                0.99015,                 0.9365,                0.37616,                0.22819,                 0.9092,              0.0001585,              0.0001585,              0.0001585
                     88,                0.33094,                0.24053,                0.95642,                0.99056,                0.97698,                0.99213,                0.94263,                 0.3758,                0.22264,                0.90878,              0.0001486,              0.0001486,              0.0001486
                     89,                0.33384,                0.23819,                0.95589,                0.99306,                0.97739,                0.98862,                0.93886,                0.36929,                 0.2262,                0.90691,              0.0001387,              0.0001387,              0.0001387
                     90,                0.34083,                0.24313,                0.95538,                0.99075,                0.96908,                0.99139,                0.94659,                0.36784,                0.22518,                0.90455,              0.0001288,              0.0001288,              0.0001288
                     91,                0.30463,                0.20331,                0.92146,                0.98649,                0.97309,                0.98993,                0.93446,                 0.3729,                0.22546,                0.90794,              0.0001189,              0.0001189,              0.0001189
                     92,                0.29656,                0.19504,                0.91725,                0.99336,                0.97168,                0.98994,                0.94006,                0.37335,                0.22654,                0.90699,               0.000109,               0.000109,               0.000109
                     93,                0.29327,                0.18752,                0.90735,                0.98958,                0.96894,                0.98941,                0.94003,                 0.3676,                 0.2285,                 0.8995,               9.91e-05,               9.91e-05,               9.91e-05
                     94,                0.28197,                0.18258,                0.90726,                0.97266,                0.98828,                 0.9908,                0.94208,                0.36445,                0.22598,                0.89339,               8.92e-05,               8.92e-05,               8.92e-05
                     95,                 0.2834,                0.18061,                 0.9014,                0.99011,                0.96747,                0.99052,                0.94369,                0.36244,                0.22173,                 0.8946,               7.93e-05,               7.93e-05,               7.93e-05
                     96,                0.28095,                 0.1782,                0.90483,                 0.9896,                  0.968,                0.99164,                0.94718,                0.36096,                0.21951,                0.89281,               6.94e-05,               6.94e-05,               6.94e-05
                     97,                0.27965,                0.17823,                0.90402,                  0.987,                0.97076,                0.99058,                0.94784,                0.36377,                0.22445,                0.89552,               5.95e-05,               5.95e-05,               5.95e-05
                     98,                0.27105,                0.17614,                0.89412,                0.99048,                0.96687,                0.98951,                  0.945,                0.35768,                0.22658,                0.89143,               4.96e-05,               4.96e-05,               4.96e-05
                     99,                0.26885,                 0.1715,                0.89726,                0.99003,                0.97075,                0.98966,                0.94611,                0.35621,                0.21878,                0.88857,               3.97e-05,               3.97e-05,               3.97e-05
                    100,                0.27291,                0.17248,                0.89859,                0.98999,                0.96867,                0.99057,                0.94873,                0.35338,                0.21744,                0.88562,               2.98e-05,               2.98e-05,               2.98e-05
